name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Collins, Susan M.",RHT,2016/03/09,2016/06/15,2018/06/13,,2017/06/14,,2016/12/14,
"Capito, Shelley M.",CERN,2017/09/08,2017/12/15,2019/12/13,0.045,2018/12/14,-0.1776,2018/06/15,-0.1097
"Capito, Shelley M.",ABT,2018/04/24,2018/07/31,2020/07/28,0.5268,2019/07/30,0.3476,2019/01/29,0.0588
"Whitehouse, Sheldon",BRK-B,2018/08/06,2018/11/12,2020/11/09,0.0185,2019/11/11,0.0133,2019/05/13,-0.0574
"Perdue Jr., David A.",XOM,2015/08/07,2015/11/13,2017/11/10,0.0507,2016/11/11,0.0895,2016/05/13,0.1311
"Whitehouse, Sheldon",MRK,2015/07/10,2015/10/16,2017/10/13,0.2407,2016/10/14,0.2158,2016/04/15,0.0937
"Courtney, Joe",LMT,2019/12/31,2020/04/07,2022/04/05,,2021/04/06,0.0278,2020/10/06,0.0356
"Perdue Jr., David A.",FDC,2018/10/29,2019/02/04,2021/02/01,,2020/02/03,,2019/08/05,
"Whitehouse, Sheldon",TWX,2014/02/19,2014/05/28,2016/05/25,0.0878,2015/05/27,0.2544,2014/11/26,0.234
"Capito, Shelley M.",RBGLY,2017/09/08,2017/12/15,2019/12/13,-0.0928,2018/12/14,-0.1308,2018/06/15,-0.089
"Inhofe, James M.",CLR,2016/01/08,2016/04/15,2018/04/13,0.845,2017/04/14,0.3404,2016/10/14,0.5595
"Shalala, Donna",CATY,2019/02/20,2019/05/29,2021/05/26,0.1628,2020/05/27,-0.1967,2019/11/27,0.072
"Collins, Susan M.",HOLX,2016/12/01,2017/03/09,2019/03/07,0.1111,2018/03/08,-0.0788,2017/09/07,-0.0712
"Perdue Jr., David A.",KMI,2018/11/29,2019/03/07,2021/03/04,-0.22,2020/03/05,-0.0075,2019/09/05,0.0322
"Perdue Jr., David A.",DISCA,2015/08/12,2015/11/18,2017/11/15,-0.4628,2016/11/16,-0.0852,2016/05/18,-0.1293
"Roberts, Pat",NFLX,2017/04/07,2017/07/14,2019/07/12,1.3567,2018/07/13,1.5212,2018/01/12,0.3734
"Whitehouse, Sheldon",JCI,2016/11/15,2017/02/21,2019/02/19,-0.1763,2018/02/20,-0.1011,2017/08/22,-0.0987
"Whitehouse, Sheldon",MCD,2018/05/07,2018/08/13,2020/08/10,0.2892,2019/08/12,0.3819,2019/02/11,0.107
"Shalala, Donna",REXR,2019/04/30,2019/08/06,2021/08/03,0.5089,2020/08/04,0.1591,2020/02/04,0.1914
"Whitehouse, Sheldon",SLB,2014/03/20,2014/06/26,2016/06/23,-0.3185,2015/06/25,-0.2492,2014/12/25,-0.2485
"Whitehouse, Sheldon",ETN,2018/05/24,2018/08/30,2020/08/27,0.2319,2019/08/29,-0.0458,2019/02/28,-0.0349
"Perdue Jr., David A.",FEYE,2018/01/16,2018/04/24,2020/04/21,-0.4252,2019/04/23,-0.1504,2018/10/23,-0.0588
"Whitehouse, Sheldon",HPQ,2017/07/25,2017/10/31,2019/10/29,-0.182,2018/10/30,0.0821,2018/05/01,0.0035
"Axne, Cynthia",WFC,2019/09/09,2019/12/16,2021/12/13,-0.0955,2020/12/14,-0.4641,2020/06/15,-0.4949
"Collins, Susan M.",CRM,2014/02/11,2014/05/20,2016/05/17,0.4466,2015/05/19,0.351,2014/11/18,0.1778
"Shalala, Donna",BKU,2019/03/06,2019/06/12,2021/06/09,0.4293,2020/06/10,-0.3284,2019/12/11,0.0641
"Reed, John F.",IYT,2017/06/19,2017/09/25,2019/09/23,0.0754,2018/09/24,0.1787,2018/03/26,0.0587
"Roberts, Pat",FB,2018/02/05,2018/05/14,2020/05/11,0.1372,2019/05/13,-0.0208,2018/11/12,-0.2367
"Perdue Jr., David A.",MOS,2017/07/03,2017/10/09,2019/10/07,-0.0706,2018/10/08,0.599,2018/04/09,0.1695
"Perdue Jr., David A.",LGF-B,2018/11/19,2019/02/25,2021/02/22,-0.0713,2020/02/24,-0.3545,2019/08/26,-0.2952
"Perdue Jr., David A.",BAC,2016/04/14,2016/07/21,2018/07/19,1.0766,2017/07/20,0.669,2017/01/19,0.574
"Hoeven, John",AAPL,2016/01/28,2016/05/05,2018/05/03,0.8846,2017/05/04,0.5684,2016/11/03,0.1833
"Whitehouse, Sheldon",BIIB,2015/08/28,2015/12/04,2017/12/01,0.1372,2016/12/02,0.0572,2016/06/03,0.0278
"Whitehouse, Sheldon",MET,2016/03/24,2016/06/30,2018/06/28,0.2514,2017/06/29,0.4118,2016/12/29,0.3677
"Whitehouse, Sheldon",NOV,2014/07/02,2014/10/08,2016/10/05,-0.4939,2015/10/07,-0.4354,2015/04/08,-0.2736
"Whitehouse, Sheldon",WMT,2018/08/28,2018/12/04,2020/12/01,0.5692,2019/12/03,0.2167,2019/06/04,0.0489
"Whitehouse, Sheldon",NVDA,2016/04/26,2016/08/02,2018/07/31,3.3532,2017/08/01,1.8923,2017/01/31,0.9389
"Whitehouse, Sheldon",M,2014/10/02,2015/01/08,2017/01/05,-0.5405,2016/01/07,-0.4492,2015/07/09,-0.0223
"Whitehouse, Sheldon",WM,2016/07/07,2016/10/13,2018/10/11,0.4496,2017/10/12,0.2496,2017/04/13,0.1703
