official,ticker,buy_date,sell_date,profit
"Hoeven, John",IBM,2019/10/21,2020/02/10,20.09
"Hoeven, John",NFLX,2019/09/24,2020/01/14,81.81
"Murray, Patty",SO,2017/03/16,2017/07/06,-2.95
"Hoeven, John",WTW,2017/12/21,2018/04/12,-5.08
"Perdue Jr., David A.",HYH,2016/02/09,2016/05/31,6.79
"Phillips, Dean",CMCSA,2019/12/27,2020/04/17,-6.84
"Capito, Shelley M.",FANUY,2017/09/08,2017/12/29,4.53
"Cassidy, William",AFL,2016/03/31,2016/07/21,4.93
"Shalala, Donna",FII,2019/02/20,2019/06/12,4.07
"Whitehouse, Sheldon",MO,2014/01/31,2014/05/23,5.77
"Roberts, Pat",NVDA,2018/08/28,2018/12/18,-31.44
"Perdue Jr., David A.",LGF-B,2018/12/03,2019/03/25,-3.32
"Inhofe, James M.",BABA,2017/10/23,2018/02/12,2.41
"Murray, Patty",UN,2017/03/16,2017/07/06,3.52
"Cassidy, William",BLK,2016/03/31,2016/07/21,16.92
"Perdue Jr., David A.",IP,2015/08/24,2015/12/14,-4.3
"Hill, James F.",AAWW,2019/12/19,2020/04/09,-2.22
"Perdue Jr., David A.",BAC,2016/01/20,2016/05/11,0.71
"Roberts, Pat",LMT,2018/01/17,2018/05/09,-6.4
"Capito, Shelley M.",CME,2017/09/08,2017/12/29,19.73
"Marshall, Roger W.",AAPL,2019/12/02,2020/03/23,-11.32
"Perdue Jr., David A.",BMY,2016/08/11,2016/12/01,-4.83
"Perdue Jr., David A.",BAC,2016/04/18,2016/08/08,1.01
"Capito, Shelley M.",MSFT,2018/04/24,2018/08/14,14.46
"Capito, Shelley M.",KO,2019/03/04,2019/06/24,6.47
"Cisneros, Gilbert",VCYT,2019/12/12,2020/04/02,-8.19
"Perdue Jr., David A.",HBI,2017/08/07,2017/11/27,-4.63
"Perdue Jr., David A.",PAGP,2018/12/21,2019/04/12,4.09
"Perdue Jr., David A.",BMY,2017/03/22,2017/07/12,-0.25
"Perdue Jr., David A.",WMT,2017/03/13,2017/07/03,5.63
"Murray, Patty",PAYX,2017/03/16,2017/07/06,-5.69
"Toomey, Patrick J.",BAC,2017/01/25,2017/05/17,-0.31
"Shalala, Donna",H,2019/04/03,2019/07/24,2.45
"Beyer, Donald S.",TRNO,2019/12/23,2020/04/13,1.6
"Hoeven, John",CE,2019/05/30,2019/09/19,24.37
"Roberts, Pat",NFLX,2014/09/12,2015/01/02,-19.11
"Shalala, Donna",EXEL,2019/01/09,2019/05/01,-3.74
"Perdue Jr., David A.",ALB,2019/10/29,2020/02/18,24.52
"Murray, Patty",KMB,2017/03/16,2017/07/06,-7.11
"Perdue Jr., David A.",HBI,2017/11/02,2018/02/22,-0.13
"Perdue Jr., David A.",DVN,2018/01/24,2018/05/16,-3.32
"Collins, Susan M.",DHR,2017/03/02,2017/06/22,-0.38
"Cisneros, Gilbert",KHC,2019/12/06,2020/03/27,-6.75
"Murray, Patty",GSK,2017/03/16,2017/07/06,-0.12
"Courtney, Joe",KDP,2019/12/31,2020/04/21,-3.39
"Inhofe, James M.",XON,2017/02/16,2017/06/08,-1.09
"Perdue Jr., David A.",GLW,2018/01/31,2018/05/23,-4.22
"Murray, Patty",EXC,2017/03/16,2017/07/06,-0.36
"Capito, Shelley M.",PII,2018/04/24,2018/08/14,-6.0
"Perdue Jr., David A.",AAPL,2019/01/03,2019/04/25,15.64
"Capito, Shelley M.",DWDP,2018/05/17,2018/09/06,2.96
"Whitehouse, Sheldon",WM,2017/05/10,2017/08/30,3.78
"Cisneros, Gilbert",GDDY,2019/12/24,2020/04/14,-4.46
"Whitehouse, Sheldon",KO,2015/08/10,2015/11/30,1.09
"Reed, John F.",XBI,2017/06/19,2017/10/09,14.65
"Capito, Shelley M.",ACN,2018/04/24,2018/08/14,8.66
"Collins, Susan M.",AAPL,2014/11/10,2015/03/02,5.08
"Capito, Shelley M.",LVMUY,2017/09/05,2017/12/26,7.63
"Hoeven, John",PG,2017/01/20,2017/05/12,-1.08
"Perdue Jr., David A.",URBN,2019/12/30,2020/04/20,-9.82
"Perdue Jr., David A.",FEYE,2016/07/12,2016/11/01,-4.55
"Shalala, Donna",UNICY,2019/02/21,2019/06/13,-0.3
"Perdue Jr., David A.",FDX,2019/05/02,2019/08/22,-28.07
"Perdue Jr., David A.",RF,2018/12/21,2019/04/12,2.5
"Roberts, Pat",NVDA,2017/11/30,2018/03/22,11.11
"Whitehouse, Sheldon",T,2014/12/18,2015/04/09,-0.57
"Shalala, Donna",HPQ,2019/05/20,2019/09/09,0.01
"Perdue Jr., David A.",ALB,2019/12/05,2020/03/26,-4.33
"Capito, Shelley M.",APD,2018/04/04,2018/07/25,-3.06
"Beyer, Donald S.",C,2019/12/23,2020/04/13,-32.28
