official,ticker,buy_date,sell_date,profit
"Roberts, Pat",FB,2018/10/12,2018/11/09,-8.18
"Whitehouse, Sheldon",AXP,2014/07/29,2014/08/26,-2.37
"Perdue Jr., David A.",EPD,2018/09/18,2018/10/16,-0.77
"Whitehouse, Sheldon",DISH,2017/04/05,2017/05/03,-1.86
"Perdue Jr., David A.",SUN,2018/01/31,2018/02/28,-2.59
"Perdue Jr., David A.",FEYE,2016/11/18,2016/12/16,-0.59
"Toomey, Patrick J.",BOX,2018/05/02,2018/05/30,3.79
"Courtney, Joe",NEE,2019/12/31,2020/01/28,6.28
"Perdue Jr., David A.",EAF,2019/05/24,2019/06/21,1.38
"Perdue Jr., David A.",BAC,2016/03/30,2016/04/27,1.58
"Collins, Susan M.",DAL,2014/03/31,2014/04/28,1.57
"Murray, Patty",MDT,2017/03/16,2017/04/13,-2.35
"Whitehouse, Sheldon",C,2017/07/25,2017/08/22,-1.53
"Perdue Jr., David A.",LGF-B,2018/12/10,2019/01/07,0.56
"Whitehouse, Sheldon",NFLX,2016/01/05,2016/02/02,-14.53
"Whitehouse, Sheldon",BABA,2014/11/10,2014/12/08,-11.52
"Toomey, Patrick J.",XLV,2015/01/30,2015/02/27,2.58
"Shalala, Donna",BOOM,2019/06/04,2019/07/02,-10.38
"Toomey, Patrick J.",ILF,2014/09/02,2014/09/30,-5.84
"Roberts, Pat",COF,2017/09/26,2017/10/24,6.7
"Perdue Jr., David A.",FEYE,2018/06/25,2018/07/23,1.07
"Perdue Jr., David A.",MRK,2018/01/16,2018/02/13,-7.1
"Axne, Cynthia",CVET,2019/02/08,2019/03/08,-9.07
"Collins, Susan M.",DIS,2014/05/07,2014/06/04,2.58
"Perdue Jr., David A.",URBN,2019/12/03,2019/12/31,3.03
"Hoeven, John",GIS,2017/04/21,2017/05/19,-1.86
"Toomey, Patrick J.",LGP,2014/06/11,2014/07/09,-0.2
"Hoeven, John",PEP,2017/01/20,2017/02/17,4.88
"Perdue Jr., David A.",MOS,2019/04/03,2019/05/01,-1.57
"Perdue Jr., David A.",HYH,2016/02/04,2016/03/03,2.9
"Collins, Susan M.",AXP,2014/04/23,2014/05/21,0.6
"Capito, Shelley M.",NVS,2017/09/05,2017/10/03,2.58
"Perdue Jr., David A.",DISCA,2017/11/13,2017/12/11,2.86
"Shalala, Donna",DEO,2019/02/15,2019/03/15,6.64
"Perdue Jr., David A.",BAC,2016/03/07,2016/04/04,0.04
"Perdue Jr., David A.",T,2019/01/30,2019/02/27,1.32
"Perdue Jr., David A.",DVN,2018/03/27,2018/04/24,2.94
"Perdue Jr., David A.",CZR,2017/07/20,2017/08/17,2.0
"Perdue Jr., David A.",LGF-B,2018/11/30,2018/12/28,-3.31
"Perdue Jr., David A.",URBN,2017/06/08,2017/07/06,1.74
"Perdue Jr., David A.",HBI,2018/12/27,2019/01/24,2.6
"Capito, Shelley M.",CMPGY,2017/09/05,2017/10/03,-0.28
"Cassidy, William",JNJ,2016/03/31,2016/04/28,3.66
"Collins, Susan M.",PEP,2014/05/07,2014/06/04,1.48
"Perdue Jr., David A.",M,2019/08/15,2019/09/12,0.77
"Miller, Carol D.",CVS,2019/04/11,2019/05/09,1.72
"Inhofe, James M.",RSPP,2015/08/24,2015/09/21,1.57
"Collins, Susan M.",AXP,2015/01/13,2015/02/10,-4.24
"Roberts, Pat",AAPL,2014/08/01,2014/08/29,1.71
"Joyce, David P.",IJH,2019/07/24,2019/08/21,-7.84
"Perdue Jr., David A.",SBUX,2016/05/16,2016/06/13,-0.3
"Shalala, Donna",AOS,2019/02/20,2019/03/20,-0.25
"Conaway, K. M.",GSLC,2019/12/03,2019/12/31,2.35
"Perdue Jr., David A.",RF,2017/06/01,2017/06/29,0.88
"Murray, Patty",VZ,2017/03/16,2017/04/13,-1.3
"Perdue Jr., David A.",COST,2017/10/30,2017/11/27,11.35
"Cassidy, William",FRT,2017/03/29,2017/04/26,0.56
"Phillips, Dean",CMCSA,2019/12/30,2020/01/27,-0.87
"Shalala, Donna",BERY,2019/04/30,2019/05/28,-10.68
"Perdue Jr., David A.",INFY,2017/06/22,2017/07/20,0.33
"Perdue Jr., David A.",DUK,2017/12/26,2018/01/23,-6.12
"Whitehouse, Sheldon",ADI,2017/05/05,2017/06/02,5.46
"Shalala, Donna",LMT,2019/05/20,2019/06/17,8.82
"Whitehouse, Sheldon",MCK,2016/10/26,2016/11/23,-17.7
"Reed, John F.",HOLX,2018/11/28,2018/12/26,-5.12
"Hoeven, John",IBM,2019/10/21,2019/11/18,1.78
"Hoeven, John",NFLX,2019/09/24,2019/10/22,11.97
"Murray, Patty",SO,2017/03/16,2017/04/13,-0.77
"Hoeven, John",WTW,2017/12/21,2018/01/18,0.95
"Perdue Jr., David A.",HYH,2016/02/09,2016/03/08,3.52
"Phillips, Dean",CMCSA,2019/12/27,2020/01/24,-0.4
"Capito, Shelley M.",FANUY,2017/09/08,2017/10/06,1.59
"Cassidy, William",AFL,2016/03/31,2016/04/28,2.83
"Shalala, Donna",FII,2019/02/20,2019/03/20,1.0
"Whitehouse, Sheldon",MO,2014/01/31,2014/02/28,1.26
"Roberts, Pat",NVDA,2018/08/28,2018/09/25,-1.46
"Perdue Jr., David A.",LGF-B,2018/12/03,2018/12/31,-2.88
"Inhofe, James M.",BABA,2017/10/23,2017/11/20,12.78
"Murray, Patty",UN,2017/03/16,2017/04/13,0.55
"Cassidy, William",BLK,2016/03/31,2016/04/28,19.71
"Perdue Jr., David A.",IP,2015/08/24,2015/09/21,-1.59
"Hill, James F.",AAWW,2019/12/19,2020/01/16,0.52
"Perdue Jr., David A.",BAC,2016/01/20,2016/02/17,-1.05
"Roberts, Pat",LMT,2018/01/17,2018/02/14,18.76
"Capito, Shelley M.",CME,2017/09/08,2017/10/06,9.75
"Marshall, Roger W.",AAPL,2019/12/02,2019/12/30,5.78
"Perdue Jr., David A.",BMY,2016/08/11,2016/09/08,-3.92
"Perdue Jr., David A.",BAC,2016/04/18,2016/05/16,-0.12
"Capito, Shelley M.",MSFT,2018/04/24,2018/05/22,3.25
"Capito, Shelley M.",KO,2019/03/04,2019/04/01,1.4
"Cisneros, Gilbert",VCYT,2019/12/12,2020/01/09,-0.64
"Perdue Jr., David A.",PAGP,2018/12/21,2019/01/18,2.79
"Perdue Jr., David A.",BMY,2017/03/22,2017/04/19,-2.53
"Perdue Jr., David A.",WMT,2017/03/13,2017/04/10,3.03
"Murray, Patty",PAYX,2017/03/16,2017/04/13,-4.48
"Toomey, Patrick J.",BAC,2017/01/25,2017/02/22,1.48
"Shalala, Donna",H,2019/04/03,2019/05/01,3.25
"Hoeven, John",CE,2019/05/30,2019/06/27,6.98
"Roberts, Pat",NFLX,2014/09/12,2014/10/10,-3.2
"Shalala, Donna",EXEL,2019/01/09,2019/02/06,-0.55
"Perdue Jr., David A.",ALB,2019/10/29,2019/11/26,1.43
"Murray, Patty",KMB,2017/03/16,2017/04/13,-1.91
"Perdue Jr., David A.",HBI,2017/11/02,2017/11/30,0.52
"Perdue Jr., David A.",DVN,2018/01/24,2018/02/21,-12.82
"Collins, Susan M.",DHR,2017/03/02,2017/03/30,-1.01
"Cisneros, Gilbert",KHC,2019/12/06,2020/01/03,0.29
"Murray, Patty",GSK,2017/03/16,2017/04/13,-0.44
"Courtney, Joe",KDP,2019/12/31,2020/01/28,-0.65
"Inhofe, James M.",XON,2017/02/16,2017/03/16,-2.29
"Perdue Jr., David A.",GLW,2018/01/31,2018/02/28,-2.47
"Murray, Patty",EXC,2017/03/16,2017/04/13,-0.04
"Capito, Shelley M.",PII,2018/04/24,2018/05/22,0.74
"Perdue Jr., David A.",AAPL,2019/01/03,2019/01/31,5.73
"Capito, Shelley M.",DWDP,2018/05/17,2018/06/14,0.48
"Whitehouse, Sheldon",WM,2017/05/10,2017/06/07,0.42
"Cisneros, Gilbert",GDDY,2019/12/24,2020/01/21,3.93
"Reed, John F.",XBI,2017/06/19,2017/07/17,5.6
"Capito, Shelley M.",ACN,2018/04/24,2018/05/22,4.2
"Collins, Susan M.",AAPL,2014/11/10,2014/12/08,1.04
"Capito, Shelley M.",LVMUY,2017/09/05,2017/10/03,3.4
"Hoeven, John",PG,2017/01/20,2017/02/17,3.7
"Perdue Jr., David A.",URBN,2019/12/30,2020/01/27,-1.53
"Perdue Jr., David A.",FEYE,2016/07/12,2016/08/09,-2.14
"Shalala, Donna",UNICY,2019/02/21,2019/03/21,0.54
"Perdue Jr., David A.",FDX,2019/05/02,2019/05/30,-26.09
"Perdue Jr., David A.",RF,2018/12/21,2019/01/18,2.38
"Roberts, Pat",NVDA,2017/11/30,2017/12/28,-0.34
"Whitehouse, Sheldon",T,2014/12/18,2015/01/15,0.24
"Reed, John F.",TMO,2016/09/12,2016/10/10,14.44
"Capito, Shelley M.",APD,2018/04/04,2018/05/02,3.16
"Perdue Jr., David A.",SUN,2018/02/05,2018/03/05,-1.84
"Capito, Shelley M.",XOM,2018/04/24,2018/05/22,3.05
"Murray, Patty",PG,2017/03/16,2017/04/13,-1.24
"Perdue Jr., David A.",BWXT,2019/01/15,2019/02/12,8.17
"Capito, Shelley M.",MDT,2018/04/24,2018/05/22,5.69
"Perdue Jr., David A.",DISCA,2015/03/13,2015/04/10,1.08
"Perdue Jr., David A.",GPK,2019/08/09,2019/09/06,0.12
"Cisneros, Gilbert",WFC,2019/12/06,2020/01/03,-0.79
"Perdue Jr., David A.",SPY,2017/12/13,2018/01/10,6.56
"Perdue Jr., David A.",DISCA,2015/08/12,2015/09/09,-1.5
"Shalala, Donna",KUBTY,2019/01/15,2019/02/12,-0.68
