official,ticker,buy_date,profit,sell_date
"Perlmutter, Ed",MSFT,2020/06/10,11.85,2020/09/14
"Whitehouse, Sheldon",IBM,2018/05/24,-2.88,2019/07/05
"Whitehouse, Sheldon",IBM,2017/11/27,-29.71,2018/11/19
"Newman, Marie",FDX,2021/02/16,21.11,2021/04/09
"Newman, Marie",FDX,2021/03/12,0.1,2021/03/15
"Newman, Marie",FDX,2021/03/15,9.72,2021/03/26
"Gottheimer, Josh",TT,2021/09/01,-12.31,2021/09/15
"Cisneros, Gilbert",CF,2020/03/18,7.6,2020/04/29
"Whitehouse, Sheldon",ABT,2016/11/15,5.69,2017/02/23
"Newman, Marie",NKE,2021/02/04,2.44,2021/02/12
"Newman, Marie",NKE,2021/04/16,26.99,2021/07/09
"Cisneros, Gilbert",QDEL,2020/03/10,184.91,2020/07/30
"Cassidy, William",SBUX,2018/04/23,32.32,2020/11/05
"Perdue Jr., David A.",PBA,2020/04/07,-1.57,2020/04/15
"Perdue Jr., David A.",PBA,2019/05/30,-0.26,2019/10/10
"Carper, Thomas R.",HBI,2015/01/26,-14.73,2020/11/20
"Inhofe, James M.",XON,2017/08/23,-4.12,2017/11/10
"Gottheimer, Josh",SNAP,2020/04/23,46.55,2021/07/08
"Gottheimer, Josh",SNAP,2020/11/02,20.88,2021/06/08
"Gottheimer, Josh",SNAP,2020/11/06,8.26,2021/03/31
"Roberts, Pat",TSLA,2020/08/03,361.87,2020/12/21
"Capito, Shelley M.",BNPQY,2017/09/08,-1.71,2018/05/18
"Tuberville, Thomas H.",WAL,2021/03/29,14.65,2021/09/29
"Scott, Austin",BE,2020/08/10,16.57,2021/03/15
"Scott, Austin",BE,2020/10/30,7.85,2021/10/21
"Carper, Thomas R.",SH,2021/01/04,-0.45,2021/01/11
"Banks, James E.",SBUX,2020/03/27,51.09,2021/09/02
"Banks, James E.",SBUX,2020/04/24,2.57,2020/07/29
"Gianforte, Greg",VSAT,2020/08/10,-5.44,2020/11/16
"Lowenthal, Alan S.",KTOS,2020/09/08,11.43,2021/02/08
"Lowenthal, Alan S.",KTOS,2020/09/04,5.38,2021/05/14
"Lowenthal, Alan S.",KTOS,2020/09/09,5.25,2021/05/12
"Lowenthal, Alan S.",KTOS,2020/09/11,10.3,2021/01/22
"Lowenthal, Alan S.",KTOS,2020/09/10,5.32,2021/05/11
"Lowenthal, Alan S.",KTOS,2020/09/03,10.7,2021/01/25
"Shalala, Donna",UMPQ,2019/01/09,-1.22,2019/06/04
"Lowenthal, Alan S.",COLD,2020/03/24,6.95,2021/03/15
"Lowenthal, Alan S.",COLD,2020/03/25,3.3,2021/03/12
"Perdue Jr., David A.",CZR,2017/07/05,45.08,2020/02/24
"Perdue Jr., David A.",CZR,2017/06/30,19.29,2019/09/05
"Perdue Jr., David A.",CZR,2017/08/08,19.3,2019/08/15
"Perdue Jr., David A.",CZR,2017/06/29,19.7,2019/08/16
"Perdue Jr., David A.",CZR,2017/06/23,27.74,2019/07/02
"Perdue Jr., David A.",CZR,2017/07/28,24.88,2019/07/19
"Perdue Jr., David A.",CZR,2017/06/26,25.35,2019/07/18
"Perdue Jr., David A.",CZR,2017/07/20,25.78,2019/07/17
"Perdue Jr., David A.",CZR,2017/06/21,30.29,2020/02/27
"Perdue Jr., David A.",CZR,2017/07/24,22.27,2019/08/02
"Perdue Jr., David A.",CZR,2017/08/29,21.24,2019/07/23
"Perdue Jr., David A.",CZR,2017/08/25,17.81,2019/08/06
"Perdue Jr., David A.",CZR,2017/09/26,20.46,2019/08/01
"Perdue Jr., David A.",CZR,2017/09/22,21.21,2019/07/16
