name,ticker_purch,tdate_purch,bought_?,s_104,p_104,s_52,p_52,s_26,p_26
"Whitehouse, Sheldon",LOW,2014/01/31,2014/01/31,2016/01/29,0.5291,2015/01/30,0.4855,2014/08/01,0.0322
"Perdue Jr., David A.",DWDP,2017/12/05,2017/12/05,2019/12/03,-0.3848,2018/12/04,-0.2032,2018/06/05,-0.0597
"Whitehouse, Sheldon",AMZN,2018/12/28,2018/12/28,2020/12/25,1.1862,2019/12/27,0.2717,2019/06/28,0.2817
"Capito, Shelley M.",MDLZ,2018/02/27,2018/02/27,2020/02/25,0.301,2019/02/26,0.0708,2018/08/28,-0.0431
"Whitehouse, Sheldon",TSLA,2017/08/24,2017/08/24,2019/08/22,-0.372,2018/08/23,-0.0864,2018/02/22,-0.0343
"Cassidy, William",AAPL,2019/01/25,2019/01/25,2021/01/22,2.519,2020/01/24,1.0511,2019/07/26,0.3341
"Whitehouse, Sheldon",MET,2016/08/18,2016/08/18,2018/08/16,0.2615,2017/08/17,0.3149,2017/02/16,0.3316
"Murray, Patty",PAYX,2017/03/16,2017/03/16,2019/03/14,0.2533,2018/03/15,0.0565,2017/09/14,-0.0821
"Inhofe, James M.",RSPP,2015/08/24,2015/08/24,2017/08/21,0.4238,2016/08/22,0.8219,2016/02/22,-0.0176
"Perdue Jr., David A.",DVN,2015/08/27,2015/08/27,2017/08/24,-0.2294,2016/08/25,0.1062,2016/02/25,-0.5174
"Perdue Jr., David A.",RF,2019/11/11,2019/11/11,2021/11/08,0.4606,2020/11/09,-0.1096,2020/05/11,-0.409
"Perdue Jr., David A.",CBS,2019/11/11,2019/11/11,2021/11/08,,2020/11/09,,2020/05/11,
"Whitehouse, Sheldon",TJX,2014/12/18,2014/12/18,2016/12/15,0.1696,2015/12/17,0.0818,2015/06/18,0.0029
"Perdue Jr., David A.",HYH,2016/02/29,2016/02/29,2018/02/26,0.9041,2017/02/27,0.6088,2016/08/29,0.4565
"Capito, Shelley M.",EV,2018/04/24,2018/04/24,2020/04/21,,2019/04/23,,2018/10/23,
"Perdue Jr., David A.",AXTA,2018/07/27,2018/07/27,2020/07/24,-0.2511,2019/07/26,0.0079,2019/01/25,-0.1555
"Capito, Shelley M.",PX,2018/04/24,2018/04/24,2020/04/21,,2019/04/23,,2018/10/23,
"Perdue Jr., David A.",LGF-B,2018/11/20,2018/11/20,2020/11/17,-0.4912,2019/11/19,-0.4837,2019/05/21,-0.1358
"Capito, Shelley M.",ADI,2018/04/05,2018/04/05,2020/04/02,-0.0632,2019/04/04,0.2046,2018/10/04,-0.0084
"Collins, Susan M.",DAL,2014/03/28,2014/03/28,2016/03/25,0.4117,2015/03/27,0.3129,2014/09/26,0.0683
"Whitehouse, Sheldon",MSFT,2016/01/06,2016/01/06,2018/01/03,0.5964,2017/01/04,0.1558,2016/07/06,-0.0566
"Perdue Jr., David A.",GM,2018/10/10,2018/10/10,2020/10/07,-0.0386,2019/10/09,0.0469,2019/04/10,0.2016
"Collins, Susan M.",ROP,2014/11/10,2014/11/10,2016/11/07,0.0885,2015/11/09,0.177,2015/05/11,0.0861
"Frankel, Lois",SU,2019/12/19,2019/12/19,2021/12/16,-0.2608,2020/12/17,-0.4575,2020/06/18,-0.4532
"Shalala, Donna",RIO,2019/04/11,2019/04/11,2021/04/08,0.2882,2020/04/09,-0.2361,2019/10/10,-0.1854
