transaction_date	house	senate	input
2013/06/11		1	1
2019/04/03	3	1	4
2016/02/17		1	1
2019/02/07		1	1
2017/12/21		3	3
2015/04/07		1	1
2021/02/12	15	2	17
2016/09/16		1	1
2021/02/19	10	1	11
2021/08/27	6	2	8
2020/12/28	7		7
2017/06/23		1	1
2013/06/18		1	1
2020/01/28	7	2	9
2012/07/25		1	1
2019/02/22	2	1	3
2020/12/15	7	4	11
2018/02/16		2	2
2016/12/14		2	2
2018/10/09		5	5
2016/12/27		1	1
2017/10/16		2	2
2015/10/20		1	1
2020/05/22	3		3
2020/06/02	9	2	11
2017/11/06		3	3
2016/06/10		2	2
2013/09/05		2	2
2015/06/15		1	1
2020/03/25	7	3	10
2021/07/28	3	1	4
2014/05/09		1	1
2020/01/03	5	1	6
2016/11/28		3	3
2016/09/22		2	2
2018/05/07		2	2
2013/06/13		1	1
2013/08/07		1	1
2018/11/27		1	1
2013/11/14		2	2
2019/10/23		3	3
2016/01/29		3	3
2018/12/14		1	1
2021/06/25	7	1	8
2021/11/17	3	1	4
2019/09/10	1	1	2
2021/11/09	7	2	9
2021/12/28	4	2	6
2017/12/13		2	2
2013/02/11		1	1
2020/10/21	5		5
2021/05/07	8	2	10
2019/06/13		1	1
2021/04/29	4	1	5
2016/07/26		2	2
2016/04/18		1	1
2014/02/07		1	1
2015/01/09		1	1
2013/09/24		1	1
2020/06/30	5	2	7
2021/04/13	11	1	12
2021/05/22	1		1
2020/12/10	10		10
2021/04/26	6	2	8
2013/10/31		2	2
2014/12/26		1	1
2016/02/12		2	2
2016/07/22		2	2
2021/06/21	8	1	9
2018/01/24		3	3
2015/05/21		3	3
2019/05/31	2	1	3
2015/09/28		1	1
2013/08/26		1	1
2018/11/30		1	1
2015/04/29		2	2
2012/10/22		1	1
2021/04/22	6	1	7
2016/11/18		3	3
2017/06/13		2	2
2013/10/09		1	1
2017/04/20		3	3
2020/10/29	7		7
2018/09/08	1		1
2020/09/03	10	2	12
2019/08/12		1	1
2018/12/18		4	4
2013/03/13		1	1
2017/03/01		1	1
2020/11/12	9		9
2015/08/03		1	1
2013/12/20		1	1
2021/07/27	4	1	5
2018/04/11		1	1
2020/07/07	5	4	9
2020/10/26	7		7
2014/04/11		2	2
2016/04/01		1	1
2019/10/02		1	1
2014/11/07		1	1
2016/10/12		2	2
2016/09/13		3	3
2016/05/16		3	3
2013/05/09		1	1
2017/04/11		1	1
2014/03/19		2	2
2019/04/11	3	2	5
2021/01/25	6	2	8
2018/11/09		3	3
2017/07/31		2	2
2014/12/18		3	3
2016/01/14		3	3
2013/04/23		1	1
2020/01/08	9	1	10
2016/12/20		1	1
2020/01/16	6	1	7
2019/11/12	2	2	4
2018/11/29		3	3
2021/02/06	1		1
2019/08/29	1	1	2
2016/05/24		2	2
2014/10/29		2	2
2018/05/08		2	2
2020/04/03	11	3	14
2016/08/04		1	1
2016/12/01		3	3
2021/11/11	5		5
2020/08/19	3	3	6
2018/06/01		4	4
2018/11/06		1	1
2017/08/01		1	1
2020/09/04	9	1	10
2013/04/12		1	1
2016/03/02		2	2
2021/06/23	4	2	6
2021/04/11		1	1
2014/03/20		1	1
2021/01/29	3	1	4
2018/08/02		2	2
2021/11/16	7		7
2021/12/20	9		9
2021/05/14	6		6
2014/01/22		1	1
2017/01/24		3	3
2015/08/06		2	2
2014/06/13		1	1
2018/12/13		3	3
2015/08/14		2	2
2019/05/28		2	2
2016/01/13		1	1
2016/02/10		2	2
2017/08/23		3	3
2018/07/03		1	1
2016/04/13		2	2
2018/10/29		3	3
2013/03/26		1	1
2016/05/05		1	1
2021/09/20	5	1	6
2016/10/26		1	1
2019/12/05	2	3	5
2021/12/31	2	1	3
2019/03/08	1	2	3
2018/05/02		2	2
2015/06/22		1	1
2019/02/27		6	6
2017/12/14		1	1
2016/10/05		1	1
2017/09/15		3	3
2017/08/17		2	2
2020/10/12	1		1
2017/03/22		2	2
2015/11/02		2	2
2019/05/22	1	2	3
2018/04/02		2	2
2014/04/22		2	2
2021/05/17	8	2	10
2017/01/12		2	2
2012/06/14		1	1
2019/03/06	1	3	4
2019/08/28	1		1
2018/09/24		3	3
2017/03/27		1	1
2018/07/13		1	1
2015/02/23		3	3
2017/09/20		2	2
2019/06/21	1	3	4
2021/07/02	9		9
2019/05/21	2	1	3
2015/05/13		2	2
2020/09/25	6	1	7
2016/12/30		2	2
2015/12/29		3	3
2013/12/06		1	1
2018/06/13		3	3
2017/02/13		2	2
2016/02/16		3	3
2017/01/27		2	2
2018/04/12		2	2
2014/03/14		3	3
2015/11/06		1	1
2019/01/04		3	3
2015/01/12		1	1
2019/01/18	1	2	3
2015/04/14		4	4
2017/03/21		1	1
2019/05/20	2	1	3
2015/09/08		1	1
2021/04/27	4	1	5
2016/12/15		5	5
2014/06/02		1	1
2016/10/19		2	2
2017/07/14		1	1
2021/08/20	7	1	8
2017/02/10		4	4
2014/03/07		3	3
2015/02/27		2	2
2019/12/24	2	1	3
2021/08/18	5	1	6
2014/01/24		2	2
2021/04/06	1	2	3
2015/10/27		1	1
