ticker,transaction_date,number_of_transactions
CRON,2021/02/12,1
PAIDX,2021/02/11,1
SMFKY,2021/02/11,1
VFC.VI,2021/02/11,1
ADM,2021/02/11,1
BWA,2021/02/11,1
CL,2021/02/10,1
TRV,2021/02/10,1
SEA,2021/02/10,1
AEIS,2021/02/09,1
BLDR,2021/02/09,1
CLNE,2021/02/08,1
CCEP,2021/02/08,1
SPG,2021/02/08,1
STT,2021/02/08,1
AAIGF,2021/02/08,1
BIP,2021/02/08,1
BEP,2021/02/08,1
DRI,2021/02/05,1
ALGM,2021/02/05,1
MJNA,2021/02/05,1
BHPLF,2021/02/05,1
NLG,2021/02/05,1
HYDB,2021/02/05,1
JNK,2021/02/05,1
RY.TO,2021/02/05,1
CSCCX,2021/02/05,1
DD,2021/02/04,1
KAI,2021/02/04,1
BSIIX,2021/02/04,1
JSOAX,2021/02/04,1
TSBRX,2021/02/04,1
BPHSPX,2021/02/03,1
DOMO,2021/02/02,1
TRN,2021/02/02,1
BRX,2021/02/02,1
LUMN,2021/01/29,1
PPG,2021/01/28,1
MAT,2021/01/28,1
MKTX,2021/01/28,1
GO,2021/01/28,1
CRWD,2021/01/28,1
CDW,2021/01/28,1
ADDYY,2021/01/28,1
MCO,2021/01/28,1
VRTX,2021/01/28,1
WEC,2021/01/28,1
DDD,2021/01/27,1
PCAR,2021/01/25,1
DUK,2021/01/22,1
LEE,2021/01/22,1
AZEK,2021/01/22,1
Broadcom Inc.,2021/01/22,1
CI,2021/01/21,1
IBTB,2021/01/21,1
IBTJ,2021/01/21,1
IBTI,2021/01/21,1
IBTH,2021/01/21,1
IBTG,2021/01/21,1
SPDW,2021/01/21,1
SLYV,2021/01/21,1
SPYS,2021/01/21,1
SPYV,2021/01/21,1
SPTI,2021/01/21,1
PDBC,2021/01/21,1
LQD,2021/01/21,1
IBDO,2021/01/21,1
XLY,2021/01/21,1
XLF,2021/01/21,1
BOA,2021/01/21,1
C,2021/01/20,1
NFG,2021/01/20,1
SFE,2021/01/20,1
ABB,2021/01/20,1
TKOMY,2021/01/20,1
ASML,2021/01/20,1
NIO,2021/01/20,1
SWK,2021/01/19,1
DKNG,2021/01/19,1
COHR,2021/01/19,1
APD,2021/01/15,1
AMGN,2021/01/15,1
CFG,2021/01/15,1
INTC,2021/01/15,1
INTL,2021/01/15,1
JPM,2021/01/15,1
PKG,2021/01/15,1
VNT,2021/01/15,1
ROP,2021/01/15,1
ZOOM,2021/01/15,1
FMS,2021/01/14,1
ACGL,2021/01/14,1
BKNG,2021/01/14,1
FCEL,2021/01/14,1
PLUG,2021/01/14,1
GBTC,2021/01/13,1
VRT,2021/01/13,1
LESL,2021/01/13,1
FLT,2021/01/13,1
FISV,2021/01/13,1
DRE,2021/01/13,1
CHX,2021/01/13,1
APTV,2021/01/13,1
FLR,2021/01/13,1
GM,2021/01/12,1
JIH,2021/01/12,1
WSM,2021/01/12,1
WRK,2021/01/12,1
WAIR,2021/01/12,1
GT,2021/01/12,1
RLGY,2021/01/12,1
DFS,2021/01/12,1
DLR,2021/01/12,1
CACI,2021/01/12,1
BLL,2021/01/12,1
JGCCF,2021/01/12,1
MLYNF,2021/01/12,1
OGFGF,2021/01/12,1
GIS,2021/01/11,1
TMUS,2021/01/11,1
CLF,2021/01/11,1
AIO,2021/01/11,1
FSKR,2021/01/11,1
DMTK,2021/01/11,1
CIG,2021/01/11,1
EQNR,2021/01/11,1
MJDLF,2021/01/11,1
NCMGF,2021/01/11,1
PDS,2021/01/11,1
VIV,2021/01/11,1
TSCDF,2021/01/11,1
TKC,2021/01/11,1
WOLWF,2021/01/11,1
AUY,2021/01/11,1
SVC,2021/01/08,1
WCC,2021/01/07,1
TIF,2021/01/07,1
PAG,2021/01/06,1
CHNG,2021/01/06,1
CNF,2021/01/06,1
BIO,2021/01/05,1
AHCO,2021/01/05,1
PCPL.U,2021/01/05,1
BKR,2021/01/04,1
FNRVGX,2021/01/04,1
HCA,2021/01/04,1
ARW,2021/01/04,1
HRL,2021/01/04,1
KMI,2020/12/31,1
OHI,2020/12/31,1
SO,2020/12/31,1
PBCT,2020/12/31,1
CDK,2020/12/30,1
HII,2020/12/30,1
LBRDA,2020/12/30,1
APPAD,2020/12/30,1
PSTH,2020/12/29,1
ASMB,2020/12/28,1
RETA,2020/12/28,1
SRNE,2020/12/28,1
DXCM,2020/12/24,1
IPWR,2020/12/24,1
ALL,2020/12/23,1
CODYY,2020/12/22,1
INCY,2020/12/22,1
K,2020/12/22,1
CSTL,2020/12/21,1
ICUI,2020/12/21,1
PHR,2020/12/21,1
NGLS,2020/12/21,1
NBIX,2020/12/21,1
PCPL,2020/12/21,1
ARNC,2020/12/18,1
RAD,2020/12/17,1
TRUP,2020/12/17,1
WFC$V,2020/12/15,1
CHL,2020/12/11,1
FXM,2020/12/11,1
REGN,2020/12/11,1
CRM,2020/12/11,1
USO,2020/12/11,1
AME,2020/12/11,1
WORK,2020/12/10,1
FDN,2020/12/10,1
PAVE,2020/12/09,1
MEDP,2020/12/08,1
VCYT,2020/12/08,1
SVNLY,2020/12/07,1
BLDP,2020/12/07,1
BGG,2020/12/07,1
DASTY,2020/12/03,1
IFNNY,2020/12/03,1
GPC,2020/12/03,1
BRKS,2020/12/02,1
CCMP,2020/12/02,1
SITE,2020/12/02,1
IWM,2020/12/02,1
AFTPY,2020/12/01,1
LOGI,2020/12/01,1
DCMYY,2020/12/01,1
BDX,2020/11/30,1
BRK,2020/11/30,1
FVD,2020/11/30,1
SWN,2020/11/30,1
JEMWX,2020/11/30,1
BRKR,2020/11/27,1
FTNT,2020/11/25,1
ZTS,2020/11/25,1
REGL,2020/11/25,1
CRNC,2020/11/24,1
DAVA,2020/11/24,1
SHYF,2020/11/24,1
VRTU,2020/11/24,1
PASO,2020/11/24,1
RHHBF,2020/11/20,1
VFF,2020/11/20,1
FISI,2020/11/20,1
MUR,2020/11/19,1
ERIC,2020/11/19,1
ORLT,2020/11/19,1
AD,2020/11/19,1
LAM,2020/11/19,1
TF,2020/11/19,1
MU,2020/11/18,1
AIT,2020/11/18,1
PLXS,2020/11/18,1
NVT,2020/11/18,1
FCFS,2020/11/18,1
WWD,2020/11/18,1
AVY,2020/11/18,1
MCRN,2020/11/18,1
OIH,2020/11/18,1
NICE,2020/11/18,1
NTLA,2020/11/18,1
AA,2020/11/17,1
AHT,2020/11/17,1
VAC,2020/11/16,1
