ticker,transaction_date,number_of_transactions
CSLT,2020/11/13,1
AMKBY,2020/11/13,1
AAVMY,2020/11/13,1
AGESY,2020/11/13,1
ANZBY,2020/11/13,1
BCS,2020/11/13,1
CAJ,2020/11/13,1
CRZBY,2020/11/13,1
CMWAY,2020/11/13,1
ING,2020/11/13,1
JAPSY,2020/11/13,1
JAPAY,2020/11/13,1
VOPKY,2020/11/13,1
MDIBY,2020/11/13,1
MFGP,2020/11/13,1
MFG,2020/11/13,1
NTOIY,2020/11/13,1
NINOY,2020/11/13,1
PANDY,2020/11/13,1
REPYY,2020/11/13,1
SCGLY,2020/11/13,1
SWRAY,2020/11/13,1
TEF,2020/11/13,1
TLSNY,2020/11/13,1
MRWSY,2020/11/13,1
ENGIY,2020/11/13,1
EQNR,2020/11/13,1
TCBI,2020/11/12,1
CMO,2020/11/12,1
EPAM,2020/11/12,1
THR,2020/11/12,1
UTG,2020/11/12,1
CCC,2020/11/11,1
XLK,2020/11/09,1
SNOW,2020/11/06,1
FAS,2020/11/05,1
PRAH,2020/11/05,1
APHA,2020/11/05,1
ACB,2020/11/05,1
CRON,2020/11/05,1
VAW,2020/11/05,1
FOUR,2020/11/04,1
GFL,2020/11/04,1
MEDP,2020/11/03,1
OCFC,2020/11/03,1
IAU,2020/11/03,1
HRI,2020/11/02,1
SDOG,2020/10/29,1
VCYT,2020/10/29,1
HLIO,2020/10/29,1
WBS,2020/10/29,1
ARKG,2020/10/29,1
PRLB,2020/10/28,1
CVNA,2020/10/26,1
LYFT,2020/10/26,1
ROG,2020/10/26,1
SBCF,2020/10/23,1
HALO,2020/10/22,1
IEMG,2020/10/22,1
SPDW,2020/10/22,1
BLDR,2020/10/22,1
BBNTX,2020/10/21,1
PRAA,2020/10/19,1
BOOT,2020/10/19,1
LITE,2020/10/19,1
SLGN,2020/10/19,1
VOO,2020/10/16,1
WCMIX,2020/10/16,1
ALC,2020/10/16,1
CRY,2020/10/16,1
ALGT,2020/10/16,1
ABCB,2020/10/16,1
PRA,2020/10/15,1
PEGA,2020/10/13,1
FAST,2020/10/13,1
JKHY,2020/10/13,1
TECH,2020/10/13,1
IDXX,2020/10/09,1
DORM,2020/10/09,1
TEAM,2020/10/09,1
PIMIX,2020/10/09,1
SRLN,2020/10/09,1
BE,2020/10/09,1
YNDX,2020/10/08,1
OSUR,2020/10/08,1
AMTD,2020/10/06,1
OWSOX,2020/10/01,1
TT,2020/09/30,1
LEVI,2020/09/29,1
LDP,2020/09/24,1
VRSN,2020/09/23,1
L,2020/09/23,1
NOW,2020/09/23,1
CDAY,2020/09/23,1
WIW,2020/09/22,1
ENR,2020/09/18,1
VIVO,2020/09/16,1
BEEM,2020/09/15,1
CHUY,2020/09/15,1
SRPT,2020/09/14,1
SLAB,2020/09/02,1
XLF,2020/09/02,1
CCXX,2020/08/27,1
FMC,2020/08/27,1
AMWD,2020/08/24,1
POWI,2020/08/24,1
RUSHA,2020/08/24,1
ALL,2020/08/21,1
LOW,2020/08/19,1
GOLD,2020/08/18,1
NVAX,2020/08/17,1
NWN,2020/08/14,1
DOX,2020/08/13,1
DHI,2020/08/11,1
KMPR,2020/08/11,1
XLV,2020/08/10,1
ANET,2020/08/07,1
BAC$K,2020/08/07,1
HUBS,2020/08/05,1
LAD,2020/08/05,1
SGEN,2020/08/03,1
WDFC,2020/07/30,1
CBRE,2020/07/29,1
RAND,2020/07/29,1
BECN,2020/07/28,1
IFF,2020/07/28,1
IRBT,2020/07/27,1
ICLR,2020/07/27,1
TOL,2020/07/23,1
VEEV,2020/07/22,1
ADC,2020/07/22,1
RXN,2020/07/22,1
FCEL,2020/07/21,1
SF,2020/07/17,1
TMUSR,2020/07/17,1
DELL,2020/07/16,1
ABEV,2020/07/16,1
PLD,2020/07/15,1
BLUE,2020/07/15,1
MSBHY,2020/07/14,1
RHHBF,2020/07/14,1
OSK,2020/07/13,1
TCOM,2020/07/13,1
RMD,2020/07/09,1
LMRK,2020/07/09,1
FEMS,2020/07/09,1
