scale_of_shares_roundedby5,number_of_transactions
"[320, 1070]",3
"[125, 420]",4
"[215, 3240]",1
"[295, 975]",1
"[225, 3340]",1
"[1335, 2665]",1
"[1040, 2085]",1
"[165, 545]",1
"[1570, 3140]",2
"[380, 1265]",3
"[220, 3275]",2
"[215, 3220]",2
"[265, 885]",3
"[290, 960]",4
"[125, 255]",1
"[120, 240]",1
"[230, 775]",2
"[1060, 2120]",1
"[770, 1535]",1
"[30, 60]",1
"[1975, 4940]",2
"[1055, 2635]",1
"[1545, 3095]",1
"[1190, 2375]",1
"[45, 645]",3
"[370, 1240]",1
"[20, 260]",2
"[425, 1420]",1
"[360, 1195]",2
"[655, 1310]",2
"[215, 720]",1
"[235, 780]",7
"[575, 1910]",1
"[30, 100]",1
"[1195, 2390]",1
"[515, 1030]",2
"[30, 95]",1
"[330, 665]",1
"[200, 675]",1
"[535, 1775]",1
"[560, 1120]",1
"[1375, 3435]",1
"[70, 1080]",2
"[140, 465]",4
"[450, 1500]",2
"[50, 750]",4
"[490, 1640]",2
"[150, 300]",1
"[490, 1635]",1
"[1320, 4400]",2
"[380, 1260]",1
"[150, 305]",2
"[915, 1830]",1
"[625, 1250]",1
"[440, 875]",2
"[1045, 2610]",1
"[200, 665]",4
"[495, 1650]",1
"[565, 1130]",1
"[170, 575]",2
"[1685, 4210]",1
"[4075, 10190]",1
"[1800, 3595]",1
"[6475, 16190]",1
"[3780, 9455]",1
"[4485, 11210]",1
"[1510, 3025]",1
"[160, 2410]",1
"[4965, 9930]",1
"[2075, 4150]",1
"[1780, 4445]",1
"[220, 445]",2
"[160, 2425]",1
"[45, 85]",1
"[385, 965]",1
"[180, 605]",7
"[1840, 4600]",1
"[5100, 12750]",1
"[1875, 3745]",1
"[7140, 17855]",1
"[4735, 11830]",1
"[4025, 10065]",1
"[375, 935]",1
"[975, 3255]",1
"[8180, 20445]",1
"[4105, 8205]",2
"[8320, 20795]",1
"[605, 1210]",2
"[60, 930]",3
"[29540, 59085]",1
"[60, 860]",2
"[55, 175]",2
"[605, 2015]",3
"[235, 3505]",3
"[43685, 87375]",1
"[4300, 10745]",1
"[550, 1825]",1
"[640, 2125]",1
"[820, 2730]",1
