ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
BTO,,,,,,1,1,,,,
ST,,,,,,1,1,,,,
TWX,,,2,,,2,2,,,,
CRMT,,,,,,,9,,,,
USG,,,,,4,1,11,,,,
TCMD,,,,,,,2,,,,
RCL,,,,,,1,1,,,,
BNPQY,,,,,,1,1,,,,
BOX,,,,,,,3,,,,
MGA,,,,,,2,1,,,,
FE,,,,,2,1,,,,,
GWW,,,,,1,,2,,,,
PTEN,,,,,,1,,,,,
WEC,,,1,,1,1,2,,,,
PAYX,,,,,1,2,2,,,,
IBM.MX,,,,,,,1,,,,
HRS,,,1,,,1,2,,,,
GD,,,,,1,2,2,,,,
FDS,,,,,,,1,,,,
ES,,,,,,,2,,,,
EV,,,,,2,,1,,,,
BDX,,,,,1,,2,,,,
ACN,,,,1,1,1,2,,,,
VGK,,,,,,,1,,,,
MS,,,,,,2,1,,,,
IYE,,,,,,,1,,,,
RHHBY,,,2,,,3,2,,,,
CLB,,,,,,,1,,,,
CHK,,,,1,1,,1,,,,
AL,,,,,,,1,,,,
COHR,,,,,,2,1,,,,
CHKP,,,,,,1,1,,,,
WPC,,,,,1,1,1,,,,
DUK,,,,,,3,1,,,,
CGNT,,,,,,,4,,,,
FANUY,,,,,,1,2,,,,
XSD,,,,,4,1,1,,,,
RYT,,,,,,,1,,,,
IYT,,,,1,3,2,1,,,,
CERN,,,,,2,2,1,,,,
IHE,,,,1,,,1,,,,
RDS-A,,,,,,,1,,,,
RYAAY,,,,,1,,1,,,,
HXL,,,,,,1,1,,,,
TSCO,,,,,1,,1,,,,
AYI,,,,1,,,1,,,,
PFS,,,4,11,1,,4,,,,
JETS,,,,,,,1,,,,
OFC,,,,1,,,1,,,,
LSCC,,,,2,,1,2,,,,
ENTL,,,,,,,1,,,,
HACK,,,,,1,2,1,,,,
SGAPY,,,,,,2,,,,,
SSDOY,,,,,,2,,,,,
DISH,,,1,1,,7,,,,,
BBL,,,,,,1,,,,,
CHRW,,,,,1,2,,,,,
RGC,,,,,,2,,,,,
LVLT,,,,,,1,,,,,
^MWE,,,,1,,,,,,,
^RGP,,,,1,,,,,,,
PHLD,,,,,,1,,,,,
PCLN,,,,1,,1,,,,,
XON,,,,,,4,,,,,
SOUHY,,,,,,1,,,,,
TMUS,,,,,,3,,,,,
MAT,,,,,,1,,,,,
HALO,,,,,,1,,,,,
DD-PA,,,,,,1,,,,,
VSM,,,,,5,17,,,,,
WF,,,,,,3,,,,,
TCS,,,,2,,3,,,,,
BIDU,,,6,3,,4,,,,,
ZIOP,,,,,,1,,,,,
SJM,,,,,1,1,,,,,
CC,,,,,,1,,,,,
TD,,,,,,1,,,,,
LVMUY,,,,,,1,,,,,
CMPGY,,,,,,1,,,,,
BASFY,,,,,,1,,,,,
AXAHY,,,,,,1,,,,,
MCK,,,4,,3,2,,,,,
VTKLY,,,,,,1,,,,,
SMECF,,,,,,1,,,,,
NPSND,,,,,,1,,,,,
JKHY,,,,,,1,,,,,
PKI,,,,2,2,7,,,,,
NGG,,,1,,,2,,,,,
BHF,,,,,,3,,,,,
Q,,,,,,4,,,,,
DVMT,,,,,2,1,,,,,
SCG,,,,,,1,,,,,
HRL,,,,,,1,,,,,
NPK,,,,,,1,,,,,
RHI,,,,,,1,,,,,
PEY,,,,,1,1,,,,,
WLK,,,,,11,12,,,,,
WFM,,,,,8,14,,,,,
AEX.MU,,,,,1,,,,,,
LW,,,,,1,1,,,,,
DPS,,,,,,1,,,,,
FLR,,,,,,2,,,,,
ZNGA.SW,,,,,,1,,,,,
MCC,,,,,,1,,,,,
NFX,,,,,2,1,,,,,
SPG,,,,,1,3,,,,,
WRK,,,,,,2,,,,,
TUP,,,1,,,2,,,,,
TEVA,,,,,1,1,,,,,
STI,,,,,,2,,,,,
SNY,,,,,,2,,,,,
SABR,,,,,,2,,,,,
RAI,,,,,1,1,,,,,
PDM,,,,,,1,,,,,
MXIM,,,1,,,2,,,,,
MDC,,,,,,1,,,,,
MTB,,,,,,2,,,,,
KMB,,,,2,,2,,,,,
KAR,,,,,,2,,,,,
GSK,,,,,,2,,,,,
ETR,,,,,,2,,,,,
CMA,,,,,,2,,,,,
BGS,,,1,,,2,,,,,
APA,,,1,,,2,,,,,
DLPH,,,,,,2,,,,,
POT,,,,,,1,,,,,
BIVV,,,,,,2,,,,,
LB,,,,,,3,,,,,
MMC,,,1,1,,2,,,,,
TWTR,,,2,1,3,2,,,,,
VEVIX,,,,,,1,,,,,
BCR,,,,2,,3,,,,,
NXPI,,,2,,,4,,,,,
LLTC,,,,2,1,1,,,,,
