ticker,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
MA,,,,,3,1,,2,5,
MALOX,,,,,,,1,1,,
MANT,,,,,,,,,2,
MAR,,,,,1,,,,4,
MASI,,,,1,,,,,,
MAT,,,,,,1,,,,
MAXR,,,,,,,,,1,
MBXIX,,,,,,,,,4,
MCC,,,,,,1,,,,
MCD,,,,1,4,1,3,2,1,
MCHP,,,2,,,1,2,,,1
MCK,,,4,,3,2,,,,
MCO,,,,,,1,,1,,
MDC,,,,,,1,,,,
MDCA,,,,1,,,,,,
MDDVX,,,2,,,,,,,
MDLZ,,,1,,,2,3,2,3,
MDP,,,1,,,,,,,
MDT,,,,1,2,4,4,1,2,
MDU,,,,1,1,,,,,
MET,,,2,,2,2,1,1,1,
MFCDX,,,1,,,,,,,
MFRM,,,,1,,,,,,
MG,,,,1,,,,,,
MGA,,,,,,2,1,,,
MGEMX,,,,1,,,,,,
MGRC,,,1,,,,,,,
MIK,,,1,1,,,,,,
MKC,,,,,,,,1,,
MLPRX,,,1,,,,,,,
MMC,,,1,1,,2,,,,
MMM,,,,1,1,1,2,,2,2
MMP,,,,,1,,2,1,1,
MNRO,,,,1,,,,,,
MO,,,1,,1,2,,1,2,
MOS,,,,1,3,8,21,5,,
MPC,,,,,,,,3,4,
MPLX,,,,1,2,,,4,2,
MPW,,,1,,,1,,,1,
MPWR,,,,,,,,,,1
MRAAY,,,,,,1,,1,,
MRK,,,,4,2,20,6,3,8,2
MRVL,,,,,,,,,1,
MS,,,,,,2,1,,,
MSACX,,,,1,,,,,,
MSFT,,,6,2,15,5,9,11,24,5
MSM,,,,,,,,2,4,
MSTY.PA,,,,,,,2,,,
MTB,,,,,,2,,,,
MTCH,,,,,,,,,2,1
MTD,,,,1,1,,,,,
MTSC,,,1,,,,,,,
MTUM,,,,,1,,1,,,1
MU,,,,,,,3,1,9,
MXIM,,,1,,,2,,,,
MYL,,,,2,2,2,2,1,,
NBL,,,,1,,,,,,
NCR,,,,,1,,,,,
NDAQ,,,,,,,,2,,
NDSN,,,,,,,,,,1
NEE,,,3,,1,2,3,,,
NEE-PC,,,,,,1,,,,
NFLX,,,9,8,6,7,14,6,27,1
NFX,,,,,2,1,,,,
NGG,,,1,,,2,,,,
NGIPX,,,,2,,,,,,
NGLS,,,,3,,,,,,
NICE,,,,2,,,,,,
NKE,,,1,,4,2,2,,3,
NKLA,,,,,,,,,2,
NNVC,,,,,,,,,1,
NOC,,,,,1,3,7,4,1,
NOG,,,,2,,,,,,
NOK,,,,,,,,,,1
NOV,,,2,,,,,,,
NPK,,,,,,1,,,,
NPSND,,,,,,1,,,,
NPSNY,,,,,,,,1,,
NRDY,,,,,,,,,,1
NSC,,,,,2,,3,1,1,
NSR,,,,1,,,,,,
NSRGY,,,2,,2,3,3,3,,
NTAP,,,,,,,,,1,
NTES,,,,,,,,,,1
NTI,,,1,,,,,,,
NTLA,,,,,,1,1,,1,
NTRA,,,,,,,,,,1
NTRP,,,,,,,1,,2,
NUAN,,,,,,,,,1,1
NUE,,,,,1,,,,,
NVAX,,,,,,,,,2,
NVDA,,,,,5,6,8,2,28,1
NVO,,,,,,1,,1,1,
NVS,,,,,1,2,2,3,,
NWL,,,2,,6,4,,,,1
NWN,,,,1,,,,,,
NWS,,,,,,,,,2,
NWSA,,,1,,,,,4,4,
NXPI,,,2,,,4,,,,
NXTG,,,,,,,,,1,1
O,,,,,,,,,,1
OAYIX,,,,,,,,,1,
ODFL,,,,,,,,,,1
OFC,,,,1,,,1,,,
OGN,,,,,,,,,,1
OGS,,,1,,,,,,,
OHI,,,1,,,,,,2,
OKE,,,1,,2,2,4,4,2,
OKS,,,,,1,,,,,
OLN,,,1,,,,,,,
OMCL,,,,1,,,,,,
ON,,,,,,,2,,,
ONEQ,,,,,,,,,,1
ORCL,,,4,,3,1,,3,8,
ORLY,,,,,,,,,1,
OSK,,,,,,,,,3,
OTIS,,,,,,,,,1,
OXY,,,1,1,1,1,1,2,1,13
PAA,,,,9,3,,,3,1,
PAAS,,,,,,,,,1,
PACW,,,1,,,,,,,
PAGP,,,,1,,,1,3,3,
PAGS,,,,,,,,,1,
PANW,,,3,,,2,,,2,
PAYX,,,,,1,2,2,,,
PBA,,,,,,1,,3,3,1
PBCT,,,1,,,,,,,
PBH,,,,1,,,,,,
PCAR,,,2,1,,,,,,
PCLN,,,,1,,1,,,,
PCP,,,1,,,,,,,
PCY,,,,1,,,,,,
PDM,,,,,,1,,,,
PDRDY,,,,,,1,,1,,
PEB,,,,1,,,,,,
PEGA,,,,,,,,,,1
PENN,,,,,,,,,,1
PEP,,,4,1,2,4,9,7,3,1
PEY,,,,,1,1,,,,
PFE,,,,6,16,20,19,,13,
PFS,,,4,11,1,,4,,,
PG,,,1,6,8,5,10,6,7,1
PGH,,,1,,,,,,,
PGR,,,,,,,,1,1,
PHLD,,,,,,1,,,,
PII,,,,,,,2,,1,
PINS,,,,,,,,,,1
PKG,,,1,,,,,,1,
PKI,,,,2,2,7,,,,
PL,,,1,,,,,,,
PLD,,,,,,,,,2,
PLKI,,,,1,,,,,,
PLT,,,,1,,,,,,
PLUG,,,,,,,,,1,
PM,,,,,,1,,1,1,
PNM,,,1,,,,,,,
PNQI,,,1,2,,,,,1,
PODD,,,,,,,4,,1,
POT,,,,,,1,,,,
POWI,,,,1,,,,,,
PPG,,,1,,1,,,1,,
PPL,,,1,,,2,,1,,
PRA,,,,1,,,,,,
PRAA,,,,1,,,,,,
PRE,,,1,,,,,,,
PRGO,,,1,,3,,,,,
PRIM,,,,1,,,,,,
PRJAX,,,,,,,,,1,
PRLB,,,,1,,,,,,
PRNHX,,,,,,,,1,,
PRPFX,,,,1,,,,,,
PRU,,,2,1,2,3,,1,10,
PSA,,,,,3,2,,,3,
PSQ,,,,,,,,,,6
PSX,,,1,1,,,2,,2,
PSXP,,,,,,,,,4,
PTEN,,,,,,1,,,,
PTLC,,,,,,,,,2,
PTMC,,,,,,1,,,2,
PTNQ,,,,,,,,,2,
PTON,,,,,,,,,,1
PWE,,,1,,,,,,,
PX,,,1,,3,,4,,,
PYPL,,,,1,,4,1,2,11,3
Q,,,,,,4,,,,
QCOM,,,1,4,3,14,4,3,3,2
QLEIX,,,,,,,,,2,
QLIK,,,3,2,,,,,,
QQQ,,,1,1,,,,,,3
QRTEA,,,,,,,,,,1
QRTEP,,,,,,,,,,1
QSR,,,,,,,,,2,
QTEC,,,,,,,,,1,
RAI,,,,,1,1,,,,
RAVN,,,,1,,,,,,
RBA,,,,1,,,,,,
RBGLY,,,,,,1,,1,,
RCL,,,,,,1,1,,,
RDS-A,,,,,,,1,,,
RDS-B,,,,,1,1,3,1,3,
RDSA,,,,,,,,,,1
RDSA.AS,,,,,,,,1,,
REGN,,,1,,3,2,,,,1
REVB,,,,,,4,10,1,,
REZI,,,,,,,2,1,3,
RF,,,,1,,13,13,3,3,
RGC,,,,,,2,,,,
RHHBY,,,2,,,3,2,,,
RHI,,,,,,1,,,,
RHT,,,3,,2,,1,1,,
RIG,,,1,,,,,,,
RIO,,,,,,,,,1,
RL,,,,1,1,,,,2,
RMD,,,,,,1,,,2,
RNWK,,,4,,1,,,,,
ROC,,,1,,,,,,,
RODM,,,,,,,,,2,2
ROK,,,,,,,,,,1
ROKU,,,,,,,,,1,
ROLL,,,,1,,,,,,
ROP,,,2,,,,,,,
ROST,,,,,,,,,4,
RPM,,,1,,,,4,2,3,1
RRC,,,,,1,,,,,
RRTS,,,,1,,,,,,
RSP,,,1,,,,,,,
RSPP,,,,1,,2,,,,
RTH,,,,,,,,,3,
RTN,,,2,2,,4,2,1,3,
RTX,,,,,,,,,2,
RYAAY,,,,,1,,1,,,
RYAM,,,1,,,,,,,
RYN,,,1,,,,,,,
RYT,,,,,,,1,,,
SABR,,,,,,2,,,,
SAFRY,,,,,,,,1,,
SAP,,,,,,,,,1,
SBGI,,,1,,,,,,,
SBIO,,,,,,,,,3,
SBUX,,,5,2,6,8,5,,12,
