ticker,2018,2019,2020,2021
HHC,0,0,5,5
HIG,0,0,4,3
HII,0,0,1,0
HIPO,0,0,0,1
HIW,0,3,0,0
HL,0,2,0,0
HLDCY,0,0,1,0
HLIO,0,0,2,1
HLPPY,0,0,1,0
HLT,0,0,3,4
HLUYY,0,0,1,0
HMC,0,0,1,0
HMN,0,0,9,0
HNDL,0,0,0,3
HNNMY,0,0,1,0
HNST,0,0,0,1
HOFV,0,0,0,1
HOG,0,0,2,0
HOLX,0,0,5,2
HON,0,1,15,17
HOn,0,0,0,1
HP,0,1,0,2
HPE,0,0,1,0
HPP,0,0,1,1
HPQ,0,3,3,0
HQY,0,0,6,5
HR,0,1,0,0
HRB,0,0,4,0
HRC,0,2,2,1
HRI,0,0,3,0
HRL,0,1,2,1
HRTX,0,0,0,1
HS,0,0,0,2
HSBC,0,1,7,1
HSHCY,0,0,0,2
HSIC,0,0,1,3
HSNGY,0,0,1,0
HST,0,0,4,2
HTA,0,0,1,0
HTHIY,0,0,1,0
HTLD,0,0,1,1
HTZ,0,0,1,0
HUBS,0,0,9,1
HUM,0,0,4,6
HUN,0,0,0,2
HUYA,0,4,11,0
HVRRY,0,0,1,0
HWM,0,0,1,0
HXGBY,0,0,1,0
HXL,0,0,7,2
HYDB,0,0,0,1
HZD,0,0,1,0
HZN,0,0,1,0
IAC,0,0,1,0
IART,0,1,5,0
IAT,0,0,1,0
IAU,0,0,6,4
IBDO,0,0,0,1
IBDP,0,0,0,1
IBDRY,0,0,1,0
IBKR,0,0,1,0
IBM,0,1,13,16
IBN,0,1,3,1
IBTB,0,0,0,1
IBTD,0,0,0,2
IBTG,0,0,0,1
IBTH,0,0,0,1
IBTI,0,0,0,1
IBTJ,0,0,0,1
ICE,0,1,11,6
ICFI,0,0,2,0
ICL,0,0,1,0
ICLR,0,0,1,2
ICSH,0,0,0,1
ICUI,0,0,6,0
IDA,0,0,1,0
IDV,0,0,1,0
IDXX,0,0,4,0
IDXXX,0,0,0,1
IEF,0,0,1,0
IEFA,0,1,2,0
IEMG,0,0,1,2
IFF,0,0,3,3
IFNNY,0,2,7,6
IGLB,0,0,0,2
IGV,0,0,1,0
IHG,0,0,1,0
IHI,0,0,1,0
IJH,0,2,0,0
IJR,0,2,1,0
ILMN,0,2,9,4
ILPT,0,0,0,4
IMBBY,0,0,3,0
INCY,0,0,2,0
INFO,0,0,4,10
INFR,0,0,1,0
ING,0,0,2,0
INMD,0,0,2,0
INO,0,0,1,0
INRE,0,0,0,1
INST,0,0,1,0
INTC,0,0,21,9
INTL,0,0,0,1
INTU,0,3,8,6
INVH,0,0,4,0
IONS,0,2,0,0
IP,0,0,2,2
IPG,0,0,2,1
IPWR,0,0,1,0
IPXHY,0,0,1,0
IQV,0,1,7,7
IR,0,0,10,1
IRM,0,2,6,5
IRTC,0,1,0,0
IS,0,0,0,1
ISD,0,0,1,0
ISNPY,0,0,1,0
ISRG,0,1,9,3
ISUZY,0,0,1,0
IT,0,0,8,1
ITCI,0,0,0,1
ITOT,0,0,1,0
ITUB,0,3,4,3
ITW,0,0,6,2
IVE,0,1,0,0
IVV,0,2,2,0
IVW,0,0,1,1
IVZ,0,2,3,0
IWF,0,0,0,1
IWM,0,0,4,0
IWN,0,1,10,3
IWR,0,0,0,1
IWV,0,0,1,0
IX,0,0,1,0
IXJ,0,0,0,1
IYZ,0,0,0,1
J,0,0,4,3
JAPAY,0,0,2,0
JAPSY,0,0,2,0
JAZZ,0,0,0,1
JBAXY,0,0,1,0
JBI,0,0,0,1
JBL,0,0,0,1
JBT,0,0,2,0
JCI,0,2,2,0
JEF,0,1,1,1
JEMWX,0,0,1,0
JEPI,0,0,0,1
JETS,0,0,1,0
JFAMX,0,0,1,0
JGCCF,0,0,0,1
JGCCY,0,2,0,0
JHX,0,0,1,0
JIH,0,0,0,13
JKHY,0,0,4,0
JLL,0,0,0,1
JNJ,0,9,25,23
JNK,0,0,0,1
JOE,0,0,0,1
JPM,0,9,26,27
JPM$G,0,0,2,0
JQC,0,0,0,1
JSAIY,0,0,1,0
JSOAX,0,0,0,1
JWN,0,1,1,0
K,0,4,1,0
KAI,0,0,0,3
KBE,0,0,1,0
KDP,0,1,2,0
KEY,0,0,6,0
KEYS,0,0,2,1
KGFHY,0,0,1,0
KHC,0,4,5,4
KIDS,0,0,2,0
KIM,0,0,1,0
KKPNY,0,0,1,0
KKR,0,0,1,8
KLAC,0,0,1,1
KMB,0,0,7,5
KMI,0,1,4,4
KMPR,0,0,4,0
KMT,0,2,0,0
KMTUY,0,2,4,1
KMX,0,0,12,2
KNRRY,0,0,1,0
KO,0,4,12,18
KPELY,0,0,1,0
KPLT,0,0,1,4
KPLTW,0,0,0,6
KR,0,0,11,10
KRE,0,0,0,6
KRNT,0,0,1,0
KSS,0,1,2,0
KTB,0,0,2,0
KTOS,0,0,15,12
KUBTY,0,4,1,2
KYOCF,0,0,0,1
L,0,0,7,0
LAD,0,0,3,1
LAM,0,0,1,0
LAMR,0,0,1,0
LANC,0,1,0,0
LAND,0,0,2,0
LARCX,0,0,0,1
LAUR,0,2,0,0
LB,0,1,2,1
LBDAV,0,0,1,0
LBRDA,0,0,3,6
LBRDK,0,1,0,2
LCGFX,0,0,0,2
LCID,0,0,0,1
LCRX,0,0,0,3
LDNXF,0,0,6,1
LDOS,0,0,4,6
LEA,0,0,0,3
LEE,0,0,2,2
LEG,0,0,0,1
LEN,0,0,4,0
LEN.B,0,0,2,0
LESL,0,0,0,4
LEVI,0,0,2,0
LGI,0,0,0,2
LGND,0,0,4,0
LH,0,0,4,0
LHCG,0,0,7,3
LHX,0,1,9,4
LII,0,0,1,0
LIN,0,1,6,9
LINK-USD,0,0,0,2
LITE,0,0,3,1
LKQ,0,0,4,1
LL,0,0,0,1
LLL,0,1,0,0
LLY,0,0,7,3
LMND,0,0,0,7
LMT,0,4,4,16
LNC,0,0,2,0
LNSTY,0,0,1,0
LNT,0,0,7,1
LOGI,0,0,1,0
LOPE,0,0,1,1
LOW,0,2,8,8
LPLA,0,0,2,3
LPRO,0,0,0,1
LPT,0,0,1,0
LQD,0,0,0,1
LRCX,0,0,3,6
LRLCY,0,1,1,2
LRNZ,0,0,0,2
LSFYX,0,0,1,0
LSXMK,0,1,2,1
LTD,0,0,0,3
LTHM,0,0,1,0
LUKOY,0,4,4,2
