official,ticker,tdate_purch_og,tdate_purch_edited,0. one_week,profit one_week,1. two_weeks,profit two_weeks,2. four_weeks,profit four_weeks,3. eight_weeks,profit eight_weeks,4. sixteen_weeks,profit sixteen_weeks,5. thirty_two_weeks,profit thirty_two_weeks,6. year,profit year
"Gianforte, Greg",ADDYY,2020/08/04,2020/08/04,2020/08/11,0.1127,2020/08/18,0.1537,2020/09/01,0.0887,2020/09/29,0.1874,2020/11/24,0.1961,2021/03/16,0.2389,2021/08/03,0.3794
"Beyer, Donald S.",SPLK,2019/12/24,2019/12/24,2019/12/31,-0.0079,2020/01/07,0.0276,2020/01/21,0.0513,2020/02/18,0.1465,2020/04/14,-0.1238,2020/08/04,0.4074,2020/12/22,0.1656
"Hoeven, John",IVZ,2016/06/28,2016/06/28,2016/07/05,0.0375,2016/07/12,0.1177,2016/07/26,0.1936,2016/08/23,0.2847,2016/10/18,0.2488,2017/02/07,0.2759,2017/06/27,0.4684
"Curtis, John",DIS,2019/05/14,2019/05/14,2019/05/21,0.0036,2019/05/28,-0.0003,2019/06/11,0.0224,2019/07/09,0.0553,2019/09/03,0.0179,2019/12/24,0.0869,2020/05/12,-0.1979
"Collins, Susan M.",SRCL,2014/06/19,2014/06/19,2014/06/26,0.0043,2014/07/03,0.0127,2014/07/17,0.0085,2014/08/14,0.0055,2014/10/09,0.0071,2015/01/29,0.1296,2015/06/18,0.1664
"Gottheimer, Josh",AAPL,2020/01/14,2020/01/14,2020/01/21,0.0084,2020/01/28,0.0014,2020/02/11,0.0205,2020/03/10,-0.1174,2020/05/05,-0.0544,2020/08/25,0.5768,2021/01/12,0.6296
"Gottheimer, Josh",NSRGY,2020/03/13,2020/03/13,2020/03/20,0.0325,2020/03/27,0.0679,2020/04/10,0.1066,2020/05/08,0.1321,2020/07/03,0.179,2020/10/23,0.234,2021/03/12,0.1283
"Carper, Thomas R.",PTNQ,2020/11/20,2020/11/20,2020/11/27,0.0127,2020/12/04,0.0216,2020/12/18,0.0322,2021/01/15,0.0357,2021/03/12,0.0358,2021/07/02,0.1104,2021/11/19,0.1898
"Hoeven, John",WTW,2018/02/20,2018/02/20,2018/02/27,0.0121,2018/03/06,-0.0178,2018/03/20,-0.0,2018/04/17,-0.0397,2018/06/12,-0.0151,2018/10/02,-0.1126,2019/02/19,0.0594
"Perdue Jr., David A.",DISCA,2017/11/20,2017/11/20,2017/11/27,0.0026,2017/12/04,0.1713,2017/12/18,0.2256,2018/01/15,0.4191,2018/03/12,0.4087,2018/07/02,0.578,2018/11/19,0.7843
"Clark, Katherine M.",ORAN,2020/11/05,2020/11/05,2020/11/12,0.073,2020/11/19,0.0871,2020/12/03,0.0854,2020/12/31,0.0562,2021/02/25,0.0593,2021/06/17,0.0602,2021/11/04,-0.0301
"Frankel, Lois",IT,2020/02/28,2020/02/28,2020/03/06,-0.0691,2020/03/13,-0.1994,2020/03/27,-0.1909,2020/04/24,-0.1558,2020/06/19,-0.0543,2020/10/09,-0.0149,2021/02/26,0.3911
"Cassidy, William",AFL,2016/03/31,2016/03/31,2016/04/07,-0.0065,2016/04/14,0.0546,2016/04/28,0.0889,2016/05/26,0.0944,2016/07/21,0.1552,2016/11/10,0.1464,2017/03/30,0.133
"Wyden, Ronald L.",AAPL,2020/07/13,2020/07/13,2020/07/20,-0.0034,2020/07/27,-0.035,2020/08/10,0.1463,2020/09/07,0.1867,2020/11/02,0.1167,2021/02/22,0.3079,2021/07/12,0.4871
"Phillips, Dean",AMZN,2020/09/23,2020/09/23,2020/09/30,0.0372,2020/10/07,0.0348,2020/10/21,0.0449,2020/11/18,0.0205,2021/01/13,0.0315,2021/05/05,0.0817,2021/09/22,0.0998
"Perdue Jr., David A.",WLK,2016/07/26,2016/07/26,2016/08/02,-0.0238,2016/08/09,0.0492,2016/08/23,0.1547,2016/09/20,0.099,2016/11/15,0.1792,2017/03/07,0.4408,2017/07/25,0.5549
"Reed, John F.",XSD,2016/12/14,2016/12/14,2016/12/21,0.0198,2016/12/28,0.0238,2017/01/11,0.0174,2017/02/08,0.0583,2017/04/05,0.0527,2017/07/26,0.1805,2017/12/13,0.235
"Marchant, Kenny",FNF,2020/11/19,2020/11/19,2020/11/26,0.0385,2020/12/03,0.0312,2020/12/17,0.1064,2021/01/14,0.1166,2021/03/11,0.1498,2021/07/01,0.2403,2021/11/18,0.4503
"Gianforte, Greg",OSW,2020/05/01,2020/05/01,2020/05/08,0.0441,2020/05/15,-0.1042,2020/05/29,0.1102,2020/06/26,-0.1881,2020/08/21,-0.0246,2020/12/11,0.4602,2021/04/30,0.8076
"Beyer, Donald S.",ACN,2020/01/09,2020/01/09,2020/01/16,0.0111,2020/01/23,0.0176,2020/02/06,0.0346,2020/03/05,-0.1068,2020/04/30,-0.1013,2020/08/20,0.1408,2021/01/07,0.2735
