official,ticker,buy_date,sell_date,profit
"Perdue Jr., David A.",HBI,2018/12/27,2019/01/03,0.59
"Capito, Shelley M.",CMPGY,2017/09/05,2017/09/12,0.41
"Cassidy, William",JNJ,2016/03/31,2016/04/07,0.61
"Collins, Susan M.",PEP,2014/05/07,2014/05/14,0.89
"Perdue Jr., David A.",M,2019/08/15,2019/08/22,-0.7
"Miller, Carol D.",CVS,2019/04/11,2019/04/18,-0.71
"Inhofe, James M.",RSPP,2015/08/24,2015/08/31,1.42
"Collins, Susan M.",AXP,2015/01/13,2015/01/20,-2.72
"Whitehouse, Sheldon",DEO,2016/11/28,2016/12/05,-0.16
"Roberts, Pat",AAPL,2014/08/01,2014/08/08,-0.42
"Joyce, David P.",IJH,2019/07/24,2019/07/31,0.48
"Perdue Jr., David A.",SBUX,2016/05/16,2016/05/23,-0.93
"Shalala, Donna",AOS,2019/02/20,2019/02/27,0.39
"Foxx, Virginia",BP,2019/12/23,2019/12/30,-0.15
"Conaway, K. M.",GSLC,2019/12/03,2019/12/10,0.95
"Perdue Jr., David A.",RF,2017/06/01,2017/06/08,0.09
"Murray, Patty",VZ,2017/03/16,2017/03/23,-0.4
"Perdue Jr., David A.",COST,2017/10/30,2017/11/06,5.05
"Cassidy, William",FRT,2017/03/29,2017/04/05,0.21
"Phillips, Dean",CMCSA,2019/12/30,2020/01/06,-0.43
"Shalala, Donna",BERY,2019/04/30,2019/05/07,-5.74
"Perdue Jr., David A.",INFY,2017/06/22,2017/06/29,-0.01
"Perdue Jr., David A.",DUK,2017/12/26,2018/01/02,-0.31
"Whitehouse, Sheldon",ADI,2017/05/05,2017/05/12,3.18
"Whitehouse, Sheldon",MCK,2016/10/26,2016/11/02,-24.24
"Hoeven, John",IBM,2019/10/21,2019/10/28,3.86
"Hoeven, John",NFLX,2019/09/24,2019/10/01,9.48
"Murray, Patty",SO,2017/03/16,2017/03/23,0.35
"Hoeven, John",WTW,2017/12/21,2017/12/28,-1.83
"Perdue Jr., David A.",HYH,2016/02/09,2016/02/16,-0.01
"Phillips, Dean",CMCSA,2019/12/27,2020/01/03,-0.15
"Capito, Shelley M.",FANUY,2017/09/08,2017/09/15,0.39
"Cassidy, William",AFL,2016/03/31,2016/04/07,-0.2
"Shalala, Donna",FII,2019/02/20,2019/02/27,0.53
"Whitehouse, Sheldon",MO,2014/01/31,2014/02/07,0.13
"Roberts, Pat",NVDA,2018/08/28,2018/09/04,2.27
"Perdue Jr., David A.",LGF-B,2018/12/03,2018/12/10,-1.74
"Inhofe, James M.",BABA,2017/10/23,2017/10/30,4.22
"Murray, Patty",UN,2017/03/16,2017/03/23,0.18
"Cassidy, William",BLK,2016/03/31,2016/04/07,-10.67
"Perdue Jr., David A.",IP,2015/08/24,2015/08/31,0.95
"Hill, James F.",AAWW,2019/12/19,2019/12/26,-0.22
"Perdue Jr., David A.",BAC,2016/01/20,2016/01/27,-0.17
"Roberts, Pat",LMT,2018/01/17,2018/01/24,-3.08
"Capito, Shelley M.",CME,2017/09/08,2017/09/15,4.32
"Marshall, Roger W.",AAPL,2019/12/02,2019/12/09,0.5
"Perdue Jr., David A.",BMY,2016/08/11,2016/08/18,-1.82
"Perdue Jr., David A.",BAC,2016/04/18,2016/04/25,0.95
"Capito, Shelley M.",MSFT,2018/04/24,2018/05/01,-0.4
"Capito, Shelley M.",KO,2019/03/04,2019/03/11,0.19
"Cisneros, Gilbert",VCYT,2019/12/12,2019/12/19,0.38
"Perdue Jr., David A.",HBI,2017/08/07,2017/08/14,-0.25
"Perdue Jr., David A.",PAGP,2018/12/21,2018/12/28,-1.16
"Perdue Jr., David A.",BMY,2017/03/22,2017/03/29,0.44
"Murray, Patty",PAYX,2017/03/16,2017/03/23,-0.98
"Toomey, Patrick J.",BAC,2017/01/25,2017/02/01,-0.24
"Shalala, Donna",H,2019/04/03,2019/04/10,0.49
"Beyer, Donald S.",TRNO,2019/12/23,2019/12/30,0.7
"Hoeven, John",CE,2019/05/30,2019/06/06,1.06
"Roberts, Pat",NFLX,2014/09/12,2014/09/19,-3.25
"Shalala, Donna",EXEL,2019/01/09,2019/01/16,0.12
"Perdue Jr., David A.",ALB,2019/10/29,2019/11/05,4.08
"Murray, Patty",KMB,2017/03/16,2017/03/23,-1.37
"Perdue Jr., David A.",HBI,2017/11/02,2017/11/09,-0.61
"Perdue Jr., David A.",DVN,2018/01/24,2018/01/31,-3.03
"Collins, Susan M.",DHR,2017/03/02,2017/03/09,0.25
"Cisneros, Gilbert",KHC,2019/12/06,2019/12/13,0.62
"Murray, Patty",GSK,2017/03/16,2017/03/23,0.12
"Courtney, Joe",KDP,2019/12/31,2020/01/07,-0.34
"Inhofe, James M.",XON,2017/02/16,2017/02/23,-1.28
"Perdue Jr., David A.",GLW,2018/01/31,2018/02/07,-1.8
"Murray, Patty",EXC,2017/03/16,2017/03/23,0.09
"Capito, Shelley M.",PII,2018/04/24,2018/05/01,-8.69
"Perdue Jr., David A.",AAPL,2019/01/03,2019/01/10,2.14
"Capito, Shelley M.",DWDP,2018/05/17,2018/05/24,-2.21
"Whitehouse, Sheldon",WM,2017/05/10,2017/05/17,-1.92
"Cisneros, Gilbert",GDDY,2019/12/24,2019/12/31,-0.67
"Whitehouse, Sheldon",KO,2015/08/10,2015/08/17,-0.57
"Reed, John F.",XBI,2017/06/19,2017/06/26,6.62
"Capito, Shelley M.",ACN,2018/04/24,2018/05/01,-1.06
"Collins, Susan M.",AAPL,2014/11/10,2014/11/17,1.57
"Capito, Shelley M.",LVMUY,2017/09/05,2017/09/12,2.56
"Hoeven, John",PG,2017/01/20,2017/01/27,-0.77
"Perdue Jr., David A.",URBN,2019/12/30,2020/01/06,0.63
"Perdue Jr., David A.",FEYE,2016/07/12,2016/07/19,0.11
"Shalala, Donna",UNICY,2019/02/21,2019/02/28,0.18
"Perdue Jr., David A.",FDX,2019/05/02,2019/05/09,-7.64
"Perdue Jr., David A.",RF,2018/12/21,2018/12/28,0.44
"Whitehouse, Sheldon",IBM,2017/11/27,2017/12/04,3.71
"Roberts, Pat",NVDA,2017/11/30,2017/12/07,-1.95
"Reed, John F.",TMO,2016/09/12,2016/09/19,5.71
"Perdue Jr., David A.",ALB,2019/12/05,2019/12/12,3.61
"Beyer, Donald S.",C,2019/12/23,2019/12/30,1.17
"Perdue Jr., David A.",SUN,2018/02/05,2018/02/12,0.23
"Capito, Shelley M.",XOM,2018/04/24,2018/05/01,-2.33
"Murray, Patty",PG,2017/03/16,2017/03/23,-0.38
"Perdue Jr., David A.",BWXT,2019/01/15,2019/01/22,2.97
"Beyer, Donald S.",EDIT,2019/12/23,2019/12/30,-2.03
"Perdue Jr., David A.",DISCA,2015/03/13,2015/03/20,0.03
"Perdue Jr., David A.",GPK,2019/08/09,2019/08/16,-0.91
"Cisneros, Gilbert",WFC,2019/12/06,2019/12/13,-0.12
"Perdue Jr., David A.",SPY,2017/12/13,2017/12/20,0.4
"Perdue Jr., David A.",DISCA,2015/08/12,2015/08/19,0.14
"Shalala, Donna",KUBTY,2019/01/15,2019/01/22,2.58
"King Jr., Angus S.",SLB,2017/11/28,2017/12/05,2.38
"McConnell Jr., A. M.",WFC,2018/03/05,2018/03/12,0.98
"Perdue Jr., David A.",DISCA,2015/07/27,2015/08/03,0.53
"Whitehouse, Sheldon",CB,2018/05/07,2018/05/14,3.35
"Shalala, Donna",VRTX,2019/04/18,2019/04/25,5.64
"Collins, Susan M.",SRCL,2016/03/09,2016/03/16,4.09
"Capito, Shelley M.",INTC,2018/01/26,2018/02/02,-2.19
"Perdue Jr., David A.",BOIVF,2019/11/07,2019/11/14,-0.1
