official,ticker,buy_date,sell_date,profit
"Whitehouse, Sheldon",DEO,2016/11/28,2017/07/10,17.83
"Roberts, Pat",AAPL,2014/08/01,2015/03/13,7.07
"Joyce, David P.",IJH,2019/07/24,2020/03/04,-9.06
"Shalala, Donna",AOS,2019/02/20,2019/10/02,-6.6
"Foxx, Virginia",BP,2019/12/23,2020/08/03,-15.91
"Conaway, K. M.",GSLC,2019/12/03,2020/07/14,1.64
"Perdue Jr., David A.",RF,2017/06/01,2018/01/11,4.38
"Murray, Patty",VZ,2017/03/16,2017/10/26,-0.96
"Perdue Jr., David A.",COST,2017/10/30,2018/06/11,43.42
"Cassidy, William",FRT,2017/03/29,2017/11/08,-3.9
"Phillips, Dean",CMCSA,2019/12/30,2020/08/10,-2.25
"Shalala, Donna",BERY,2019/04/30,2019/12/10,-11.68
"Perdue Jr., David A.",INFY,2017/06/22,2018/02/01,1.59
"Perdue Jr., David A.",DUK,2017/12/26,2018/08/07,-3.38
"Whitehouse, Sheldon",ADI,2017/05/05,2017/12/15,10.68
"Shalala, Donna",LMT,2019/05/20,2019/12/30,51.55
"Whitehouse, Sheldon",MCK,2016/10/26,2017/06/07,3.97
"Reed, John F.",HOLX,2018/11/28,2019/07/10,3.75
"Hoeven, John",IBM,2019/10/21,2020/06/01,-6.79
"Hoeven, John",NFLX,2019/09/24,2020/05/05,167.64
"Murray, Patty",SO,2017/03/16,2017/10/26,2.03
"Hoeven, John",WTW,2017/12/21,2018/08/02,-3.78
"Perdue Jr., David A.",HYH,2016/02/09,2016/09/20,10.1
"Phillips, Dean",CMCSA,2019/12/27,2020/08/07,-2.34
"Capito, Shelley M.",FANUY,2017/09/08,2018/04/20,5.01
"Cassidy, William",AFL,2016/03/31,2016/11/10,4.65
"Shalala, Donna",FII,2019/02/20,2019/10/02,2.61
"Whitehouse, Sheldon",MO,2014/01/31,2014/09/12,8.2
"Roberts, Pat",NVDA,2018/08/28,2019/04/09,-20.95
"Perdue Jr., David A.",LGF-B,2018/12/03,2019/07/15,-5.81
"Inhofe, James M.",BABA,2017/10/23,2018/06/04,31.71
"Murray, Patty",UN,2017/03/16,2017/10/26,5.4
"Cassidy, William",BLK,2016/03/31,2016/11/10,31.64
"Perdue Jr., David A.",IP,2015/08/24,2016/04/04,-1.4
"Hill, James F.",AAWW,2019/12/19,2020/07/30,23.45
"Perdue Jr., David A.",BAC,2016/01/20,2016/08/31,2.42
"Roberts, Pat",LMT,2018/01/17,2018/08/29,-9.47
"Capito, Shelley M.",CME,2017/09/08,2018/04/20,37.15
"Marshall, Roger W.",AAPL,2019/12/02,2020/07/13,31.15
"Perdue Jr., David A.",BMY,2016/08/11,2017/03/23,-4.58
"Perdue Jr., David A.",BAC,2016/04/18,2016/11/28,6.52
"Capito, Shelley M.",MSFT,2018/04/24,2018/12/04,15.98
"Capito, Shelley M.",KO,2019/03/04,2019/10/14,7.97
"Cisneros, Gilbert",VCYT,2019/12/12,2020/07/23,2.59
"Perdue Jr., David A.",HBI,2017/08/07,2018/03/19,-4.88
"Perdue Jr., David A.",PAGP,2018/12/21,2019/08/02,2.5
"Perdue Jr., David A.",BMY,2017/03/22,2017/11/01,6.12
"Perdue Jr., David A.",WMT,2017/03/13,2017/10/23,18.01
"Murray, Patty",PAYX,2017/03/16,2017/10/26,1.85
"Toomey, Patrick J.",BAC,2017/01/25,2017/09/06,0.13
"Shalala, Donna",H,2019/04/03,2019/11/13,0.59
"Beyer, Donald S.",TRNO,2019/12/23,2020/08/03,7.3
